ID,Class
ISIC_0000086,nevus
ISIC_0000087,nevus
ISIC_0000088,nevus
ISIC_0000089,nevus
ISIC_0000091,nevus
ISIC_0000092,nevus
ISIC_0000093,nevus
ISIC_0000094,nevus
ISIC_0000095,nevus
ISIC_0000096,nevus
ISIC_0000097,nevus
ISIC_0000098,nevus
ISIC_0000099,nevus
ISIC_0000100,nevus
ISIC_0000101,nevus
ISIC_0000102,nevus
ISIC_0000103,nevus
ISIC_0000104,nevus
ISIC_0000105,nevus
ISIC_0000107,nevus
ISIC_0000108,nevus
ISIC_0000109,nevus
ISIC_0000110,nevus
ISIC_0000111,nevus
ISIC_0000112,nevus
ISIC_0000113,nevus
ISIC_0000115,nevus
ISIC_0000116,nevus
ISIC_0000117,nevus
ISIC_0000119,nevus
ISIC_0000120,nevus
ISIC_0000121,nevus
ISIC_0000122,nevus
ISIC_0000123,nevus
ISIC_0000124,nevus
ISIC_0000125,nevus
ISIC_0000126,nevus
ISIC_0000127,nevus
ISIC_0000128,nevus
ISIC_0000129,nevus
ISIC_0000131,nevus
ISIC_0000132,nevus
ISIC_0000133,nevus
ISIC_0000134,nevus
ISIC_0000135,nevus
ISIC_0000136,nevus
ISIC_0000137,nevus
ISIC_0000138,nevus
ISIC_0000139,melanoma
ISIC_0000140,melanoma
ISIC_0000141,melanoma
ISIC_0000142,melanoma
ISIC_0000143,melanoma
ISIC_0000145,melanoma
ISIC_0000146,melanoma
ISIC_0000147,melanoma
ISIC_0000148,melanoma
ISIC_0000149,melanoma
ISIC_0000150,melanoma
ISIC_0000151,melanoma
ISIC_0000152,melanoma
ISIC_0000153,melanoma
ISIC_0000154,melanoma
ISIC_0000155,melanoma
ISIC_0000156,melanoma
ISIC_0000157,melanoma
ISIC_0000159,melanoma
ISIC_0000160,melanoma
ISIC_0000161,melanoma
ISIC_0000162,melanoma
ISIC_0000163,melanoma
ISIC_0000164,melanoma
ISIC_0000165,melanoma
ISIC_0000166,melanoma
ISIC_0000167,melanoma
ISIC_0000169,melanoma
ISIC_0000170,melanoma
ISIC_0000171,melanoma
ISIC_0000172,melanoma
ISIC_0000173,melanoma
ISIC_0000175,melanoma
ISIC_0000176,melanoma
ISIC_0000177,nevus
ISIC_0000179,nevus
ISIC_0000181,nevus
ISIC_0000182,nevus
ISIC_0000183,nevus
ISIC_0000184,nevus
ISIC_0000185,nevus
ISIC_0000186,nevus
ISIC_0000187,nevus
ISIC_0000188,nevus
ISIC_0000189,nevus
ISIC_0000190,nevus
ISIC_0000191,nevus
ISIC_0000192,nevus
ISIC_0000193,nevus
ISIC_0000196,nevus
ISIC_0000197,nevus
ISIC_0000198,nevus
ISIC_0000199,nevus
ISIC_0000200,nevus
ISIC_0000201,nevus
ISIC_0000202,nevus
ISIC_0000203,nevus
ISIC_0000204,nevus
ISIC_0000205,nevus
ISIC_0000206,nevus
ISIC_0000207,nevus
ISIC_0000208,nevus
ISIC_0000209,nevus
ISIC_0000210,nevus
ISIC_0000211,nevus
ISIC_0000212,nevus
ISIC_0000213,nevus
ISIC_0000214,nevus
ISIC_0000215,nevus
ISIC_0000216,nevus
ISIC_0000217,nevus
ISIC_0000218,nevus
ISIC_0000219,nevus
ISIC_0000220,nevus
ISIC_0000221,nevus
ISIC_0000222,nevus
ISIC_0000223,nevus
ISIC_0000224,nevus
ISIC_0000225,nevus
ISIC_0000226,nevus
ISIC_0000227,nevus
ISIC_0000228,nevus
ISIC_0000229,nevus
ISIC_0000230,nevus
ISIC_0000231,nevus
ISIC_0000232,nevus
ISIC_0000233,nevus
ISIC_0000234,nevus
ISIC_0000235,nevus
ISIC_0000236,nevus
ISIC_0000239,nevus
ISIC_0000240,nevus
ISIC_0000242,nevus
ISIC_0000243,nevus
ISIC_0000244,nevus
ISIC_0000245,nevus
ISIC_0000246,nevus
ISIC_0000247,nevus
ISIC_0000249,nevus
ISIC_0000250,nevus
ISIC_0000251,nevus
ISIC_0000252,nevus
ISIC_0000253,nevus
ISIC_0000254,nevus
ISIC_0000255,nevus
ISIC_0000256,nevus
ISIC_0000258,nevus
ISIC_0000259,nevus
ISIC_0000260,nevus
ISIC_0000261,nevus
ISIC_0000262,nevus
ISIC_0000263,nevus
ISIC_0000264,nevus
ISIC_0000265,nevus
ISIC_0000268,nevus
ISIC_0000269,nevus
ISIC_0000271,nevus
ISIC_0000274,nevus
ISIC_0000275,nevus
ISIC_0000276,melanoma
ISIC_0000277,melanoma
ISIC_0000278,melanoma
ISIC_0000279,melanoma
ISIC_0000281,melanoma
ISIC_0000282,melanoma
ISIC_0000283,melanoma
ISIC_0000287,melanoma
ISIC_0000288,melanoma
ISIC_0000290,melanoma
ISIC_0000292,melanoma
ISIC_0000293,melanoma
ISIC_0000294,melanoma
ISIC_0000295,melanoma
ISIC_0000297,melanoma
ISIC_0000298,melanoma
ISIC_0000299,melanoma
ISIC_0000300,melanoma
ISIC_0000301,melanoma
ISIC_0000303,melanoma
ISIC_0000306,melanoma
ISIC_0000307,melanoma
ISIC_0000310,melanoma
ISIC_0000311,melanoma
ISIC_0000313,melanoma
ISIC_0000314,melanoma
ISIC_0000315,nevus
ISIC_0000316,nevus
ISIC_0000317,nevus
ISIC_0000319,nevus
ISIC_0000320,nevus
ISIC_0000321,nevus
ISIC_0000322,nevus
ISIC_0000323,nevus
ISIC_0000324,nevus
ISIC_0000325,nevus
ISIC_0000326,nevus
ISIC_0000327,nevus
ISIC_0000328,nevus
ISIC_0000329,nevus
ISIC_0000330,nevus
ISIC_0000331,nevus
ISIC_0000332,nevus
ISIC_0000336,nevus
ISIC_0000337,nevus
ISIC_0000338,nevus
ISIC_0000339,nevus
ISIC_0000340,nevus
ISIC_0000341,nevus
ISIC_0000342,nevus
ISIC_0000343,nevus
ISIC_0000344,nevus
ISIC_0000345,nevus
ISIC_0000346,nevus
ISIC_0000348,nevus
ISIC_0000349,nevus
ISIC_0000350,nevus
ISIC_0000351,nevus
ISIC_0000352,nevus
ISIC_0000353,nevus
ISIC_0000354,nevus
ISIC_0000355,nevus
ISIC_0000357,nevus
ISIC_0000358,nevus
ISIC_0000359,nevus
ISIC_0000360,nevus
ISIC_0000361,nevus
ISIC_0000363,nevus
ISIC_0000364,nevus
ISIC_0000365,nevus
ISIC_0000366,nevus
ISIC_0000367,nevus
ISIC_0000368,nevus
ISIC_0000370,nevus
ISIC_0000372,nevus
ISIC_0000374,nevus
ISIC_0000376,nevus
ISIC_0000377,nevus
ISIC_0000378,nevus
ISIC_0000379,nevus
ISIC_0000380,nevus
ISIC_0000381,nevus
ISIC_0000382,nevus
ISIC_0000383,nevus
ISIC_0000384,nevus
ISIC_0000385,nevus
ISIC_0000386,nevus
ISIC_0000387,nevus
ISIC_0000388,nevus
ISIC_0000390,melanoma
ISIC_0000391,nevus
ISIC_0000392,nevus
ISIC_0000393,melanoma
ISIC_0000395,melanoma
ISIC_0000396,nevus
ISIC_0000397,nevus
ISIC_0000403,nevus
ISIC_0000407,nevus
ISIC_0000408,nevus
ISIC_0000409,nevus
ISIC_0000410,melanoma
ISIC_0000412,melanoma
ISIC_0000413,melanoma
ISIC_0000415,melanoma
ISIC_0000416,nevus
ISIC_0000418,nevus
ISIC_0000419,nevus
ISIC_0000420,melanoma
ISIC_0000421,nevus
ISIC_0000423,nevus
ISIC_0000425,nevus
ISIC_0000426,nevus
ISIC_0000427,nevus
ISIC_0000431,nevus
ISIC_0000433,nevus
ISIC_0000434,melanoma
ISIC_0000436,nevus
ISIC_0000439,nevus
ISIC_0000442,nevus
ISIC_0000443,nevus
ISIC_0000444,melanoma
ISIC_0000447,nevus
ISIC_0000448,nevus
ISIC_0000449,nevus
ISIC_0000451,nevus
ISIC_0000453,nevus
ISIC_0000455,nevus
ISIC_0000456,nevus
ISIC_0000457,nevus
ISIC_0000458,nevus
ISIC_0000460,nevus
ISIC_0000461,nevus
ISIC_0000463,melanoma
ISIC_0000465,nevus
ISIC_0000466,melanoma
ISIC_0000469,melanoma
ISIC_0000470,nevus
ISIC_0000471,nevus
ISIC_0000473,nevus
ISIC_0000474,nevus
ISIC_0000476,nevus
ISIC_0000477,nevus
ISIC_0000479,nevus
ISIC_0000480,nevus
ISIC_0000481,nevus
ISIC_0000482,melanoma
ISIC_0000483,nevus
ISIC_0000484,melanoma
ISIC_0000485,nevus
ISIC_0000486,nevus
ISIC_0000487,melanoma
ISIC_0000488,nevus
ISIC_0000489,nevus
ISIC_0000490,nevus
ISIC_0000491,nevus
ISIC_0000492,nevus
ISIC_0000493,nevus
ISIC_0000494,nevus
ISIC_0000495,nevus
ISIC_0000496,nevus
ISIC_0000498,nevus
ISIC_0000499,nevus
ISIC_0000500,nevus
ISIC_0000501,nevus
ISIC_0000503,nevus
ISIC_0000504,nevus
ISIC_0000505,nevus
ISIC_0000506,nevus
ISIC_0000507,nevus
ISIC_0000508,nevus
ISIC_0000509,nevus
ISIC_0000510,nevus
ISIC_0000511,melanoma
ISIC_0000513,melanoma
ISIC_0000514,nevus
ISIC_0000515,nevus
ISIC_0000517,melanoma
ISIC_0000518,melanoma
ISIC_0000519,melanoma
ISIC_0000520,melanoma
ISIC_0000521,melanoma
ISIC_0000522,melanoma
ISIC_0000523,nevus
ISIC_0000524,nevus
ISIC_0000525,nevus
ISIC_0000527,nevus
ISIC_0000528,nevus
ISIC_0000529,nevus
ISIC_0000530,nevus
ISIC_0000531,melanoma
ISIC_0000532,nevus
ISIC_0000533,melanoma
ISIC_0000534,nevus
ISIC_0000535,nevus
ISIC_0000536,nevus
ISIC_0000537,nevus
ISIC_0000538,nevus
ISIC_0000539,nevus
ISIC_0000540,nevus
ISIC_0000541,nevus
ISIC_0000542,nevus
ISIC_0000543,nevus
ISIC_0000544,nevus
ISIC_0000545,nevus
ISIC_0000546,nevus
ISIC_0000547,melanoma
ISIC_0000548,melanoma
ISIC_0000549,melanoma
ISIC_0000550,melanoma
ISIC_0000552,melanoma
ISIC_0000554,melanoma
ISIC_0000555,melanoma
ISIC_0000556,nevus
ISIC_0000882,nevus
ISIC_0000900,nevus
ISIC_0000999,nevus
ISIC_0001100,melanoma
ISIC_0001102,melanoma
ISIC_0001103,melanoma
ISIC_0001105,melanoma
ISIC_0001106,melanoma
ISIC_0001118,melanoma
ISIC_0001119,melanoma
ISIC_0001126,melanoma
ISIC_0001128,melanoma
ISIC_0001131,melanoma
ISIC_0001133,melanoma
ISIC_0001134,melanoma
ISIC_0001140,melanoma
ISIC_0001142,melanoma
ISIC_0001148,melanoma
ISIC_0001152,melanoma
ISIC_0001163,nevus
ISIC_0001181,nevus
ISIC_0001184,nevus
ISIC_0001185,nevus
ISIC_0001186,nevus
ISIC_0001188,nevus
ISIC_0001190,nevus
ISIC_0001191,nevus
ISIC_0001204,nevus
ISIC_0001212,nevus
ISIC_0001213,nevus
ISIC_0001216,nevus
ISIC_0001242,nevus
ISIC_0001247,nevus
ISIC_0001254,nevus
ISIC_0001262,nevus
ISIC_0001267,nevus
ISIC_0001275,nevus
ISIC_0001286,nevus
ISIC_0001292,nevus
ISIC_0001296,nevus
ISIC_0001299,nevus
ISIC_0001306,nevus
ISIC_0001367,nevus
ISIC_0001372,nevus
ISIC_0001374,nevus
ISIC_0001385,nevus
ISIC_0001423,nevus
ISIC_0001427,nevus
ISIC_0001442,nevus
ISIC_0001449,nevus
ISIC_0001769,nevus
ISIC_0001852,nevus
ISIC_0001871,nevus
ISIC_0001960,nevus
ISIC_0002093,nevus
ISIC_0002107,nevus
ISIC_0002206,nevus
ISIC_0002246,nevus
ISIC_0002251,nevus
ISIC_0002287,nevus
ISIC_0002353,nevus
ISIC_0002374,nevus
ISIC_0002438,nevus
ISIC_0002439,nevus
ISIC_0002453,nevus
ISIC_0002459,nevus
ISIC_0002469,nevus
ISIC_0002476,nevus
ISIC_0002488,nevus
ISIC_0002489,nevus
ISIC_0002616,nevus
ISIC_0002647,nevus
ISIC_0002673,nevus
ISIC_0002780,nevus
ISIC_0002806,nevus
ISIC_0002829,nevus
ISIC_0002836,nevus
ISIC_0002871,nevus
ISIC_0002879,nevus
ISIC_0002885,nevus
ISIC_0002948,nevus
ISIC_0002975,nevus
ISIC_0002976,nevus
ISIC_0003005,nevus
ISIC_0003056,nevus
ISIC_0003174,nevus
ISIC_0003308,nevus
ISIC_0003346,nevus
ISIC_0003462,nevus
ISIC_0003539,nevus
ISIC_0003559,nevus
ISIC_0003582,nevus
ISIC_0003657,nevus
ISIC_0003728,nevus
ISIC_0003805,nevus
ISIC_0004110,nevus
ISIC_0004115,nevus
ISIC_0004168,nevus
ISIC_0004309,nevus
ISIC_0004337,nevus
ISIC_0004346,nevus
ISIC_0004715,nevus
ISIC_0004985,nevus
ISIC_0005000,nevus
ISIC_0005187,nevus
ISIC_0005247,nevus
ISIC_0005548,nevus
ISIC_0005555,nevus
ISIC_0005620,nevus
ISIC_0005639,nevus
ISIC_0005666,nevus
ISIC_0005787,nevus
ISIC_0006021,nevus
ISIC_0006114,nevus
ISIC_0006193,nevus
ISIC_0006350,nevus
ISIC_0006612,nevus
ISIC_0006651,nevus
ISIC_0006671,nevus
ISIC_0006711,nevus
ISIC_0006776,nevus
ISIC_0006795,nevus
ISIC_0006800,nevus
ISIC_0006815,nevus
ISIC_0006914,nevus
ISIC_0006940,nevus
ISIC_0006982,nevus
ISIC_0007038,nevus
ISIC_0007087,nevus
ISIC_0007141,nevus
ISIC_0007156,nevus
ISIC_0007241,nevus
ISIC_0007322,nevus
ISIC_0007332,nevus
ISIC_0007344,nevus
ISIC_0007475,nevus
ISIC_0007528,nevus
ISIC_0007557,nevus
ISIC_0007693,nevus
ISIC_0007760,nevus
ISIC_0007788,nevus
ISIC_0007796,nevus
ISIC_0008029,nevus
ISIC_0008116,nevus
ISIC_0008145,nevus
ISIC_0008207,nevus
ISIC_0008236,nevus
ISIC_0008256,nevus
ISIC_0008280,nevus
ISIC_0008294,nevus
ISIC_0008347,nevus
ISIC_0008396,nevus
ISIC_0008403,nevus
ISIC_0008406,nevus
ISIC_0008507,nevus
ISIC_0008524,nevus
ISIC_0008528,nevus
ISIC_0008541,nevus
ISIC_0008552,nevus
ISIC_0008600,nevus
ISIC_0008626,nevus
ISIC_0008659,nevus
ISIC_0008785,nevus
ISIC_0008807,nevus
ISIC_0008879,nevus
ISIC_0008913,nevus
ISIC_0008992,nevus
ISIC_0008993,nevus
ISIC_0008998,nevus
ISIC_0009035,nevus
ISIC_0009078,nevus
ISIC_0009083,nevus
ISIC_0009160,nevus
ISIC_0009165,nevus
ISIC_0009188,nevus
ISIC_0009201,nevus
ISIC_0009252,nevus
ISIC_0009297,nevus
ISIC_0009298,nevus
ISIC_0009344,nevus
ISIC_0009430,nevus
ISIC_0009504,nevus
ISIC_0009533,nevus
ISIC_0009564,nevus
ISIC_0009583,nevus
ISIC_0009599,nevus
ISIC_0009758,nevus
ISIC_0009800,nevus
ISIC_0009860,nevus
ISIC_0009868,melanoma
ISIC_0009869,nevus
ISIC_0009873,nevus
ISIC_0009874,nevus
ISIC_0009875,nevus
ISIC_0009877,nevus
ISIC_0009879,nevus
ISIC_0009880,nevus
ISIC_0009881,nevus
ISIC_0009883,nevus
ISIC_0009884,nevus
ISIC_0009885,nevus
ISIC_0009888,nevus
ISIC_0009889,nevus
ISIC_0009891,nevus
ISIC_0009895,nevus
ISIC_0009896,nevus
ISIC_0009897,melanoma
ISIC_0009898,melanoma
ISIC_0009899,nevus
ISIC_0009901,nevus
ISIC_0009902,nevus
ISIC_0009904,nevus
ISIC_0009906,nevus
ISIC_0009909,nevus
ISIC_0009910,melanoma
ISIC_0009914,nevus
ISIC_0009915,nevus
ISIC_0009917,nevus
ISIC_0009918,melanoma
ISIC_0009919,nevus
ISIC_0009920,nevus
ISIC_0009921,nevus
ISIC_0009923,nevus
ISIC_0009925,nevus
ISIC_0009927,melanoma
ISIC_0009928,nevus
ISIC_0009929,nevus
ISIC_0009930,nevus
ISIC_0009931,nevus
ISIC_0009932,nevus
ISIC_0009933,nevus
ISIC_0009934,melanoma
ISIC_0009935,nevus
ISIC_0009936,nevus
ISIC_0009937,nevus
ISIC_0009938,nevus
ISIC_0009939,nevus
ISIC_0009940,nevus
ISIC_0009941,nevus
ISIC_0009942,nevus
ISIC_0009943,nevus
ISIC_0009944,nevus
ISIC_0009945,nevus
ISIC_0009946,nevus
ISIC_0009947,nevus
ISIC_0009948,nevus
ISIC_0009949,nevus
ISIC_0009950,melanoma
ISIC_0009951,nevus
ISIC_0009953,nevus
ISIC_0009954,nevus
ISIC_0009955,melanoma
ISIC_0009956,nevus
ISIC_0009958,nevus
ISIC_0009960,melanoma
ISIC_0009961,nevus
ISIC_0009962,nevus
ISIC_0009964,nevus
ISIC_0009965,nevus
ISIC_0009966,nevus
ISIC_0009967,nevus
ISIC_0009969,nevus
ISIC_0009970,nevus
ISIC_0009971,melanoma
ISIC_0009972,nevus
ISIC_0009973,nevus
ISIC_0009974,nevus
ISIC_0009975,nevus
ISIC_0009976,nevus
ISIC_0009977,nevus
ISIC_0009978,nevus
ISIC_0009979,nevus
ISIC_0009980,nevus
ISIC_0009981,nevus
ISIC_0009982,nevus
ISIC_0009987,nevus
ISIC_0009988,nevus
ISIC_0009990,nevus
ISIC_0009991,nevus
ISIC_0009992,melanoma
ISIC_0009993,melanoma
ISIC_0009994,nevus
ISIC_0009995,nevus
ISIC_0009998,nevus
ISIC_0010000,melanoma
ISIC_0010002,nevus
ISIC_0010003,nevus
ISIC_0010005,nevus
ISIC_0010006,nevus
ISIC_0010009,nevus
ISIC_0010010,nevus
ISIC_0010011,melanoma
ISIC_0010013,nevus
ISIC_0010014,nevus
ISIC_0010015,nevus
ISIC_0010016,melanoma
ISIC_0010017,nevus
ISIC_0010018,nevus
ISIC_0010019,nevus
ISIC_0010020,nevus
ISIC_0010021,nevus
ISIC_0010022,nevus
ISIC_0010023,melanoma
ISIC_0010024,melanoma
ISIC_0010025,nevus
ISIC_0010028,nevus
ISIC_0010029,melanoma
ISIC_0010032,nevus
ISIC_0010034,melanoma
ISIC_0010036,melanoma
ISIC_0010037,nevus
ISIC_0010038,nevus
ISIC_0010041,nevus
ISIC_0010042,nevus
ISIC_0010043,nevus
ISIC_0010044,nevus
ISIC_0010046,nevus
ISIC_0010047,nevus
ISIC_0010053,nevus
ISIC_0010054,melanoma
ISIC_0010055,nevus
ISIC_0010056,melanoma
ISIC_0010057,nevus
ISIC_0010058,nevus
ISIC_0010059,nevus
ISIC_0010060,nevus
ISIC_0010061,nevus
ISIC_0010062,nevus
ISIC_0010063,nevus
ISIC_0010064,nevus
ISIC_0010066,nevus
ISIC_0010067,melanoma
ISIC_0010069,nevus
ISIC_0010070,nevus
ISIC_0010071,nevus
ISIC_0010073,nevus
ISIC_0010074,nevus
ISIC_0010075,nevus
ISIC_0010077,nevus
ISIC_0010078,nevus
ISIC_0010081,melanoma
ISIC_0010086,nevus
ISIC_0010088,nevus
ISIC_0010089,melanoma
ISIC_0010090,nevus
ISIC_0010092,nevus
ISIC_0010093,nevus
ISIC_0010094,melanoma
ISIC_0010100,nevus
ISIC_0010102,nevus
ISIC_0010104,nevus
ISIC_0010105,nevus
ISIC_0010168,nevus
ISIC_0010169,nevus
ISIC_0010171,melanoma
ISIC_0010173,nevus
ISIC_0010174,melanoma
ISIC_0010175,melanoma
ISIC_0010176,nevus
ISIC_0010177,nevus
ISIC_0010178,nevus
ISIC_0010180,nevus
ISIC_0010182,nevus
ISIC_0010183,nevus
ISIC_0010184,nevus
ISIC_0010185,nevus
ISIC_0010186,nevus
ISIC_0010187,nevus
ISIC_0010189,melanoma
ISIC_0010190,nevus
ISIC_0010191,nevus
ISIC_0010192,nevus
ISIC_0010194,melanoma
ISIC_0010201,nevus
ISIC_0010202,nevus
ISIC_0010204,nevus
ISIC_0010205,nevus
ISIC_0010206,nevus
ISIC_0010207,melanoma
ISIC_0010212,nevus
ISIC_0010213,nevus
ISIC_0010215,nevus
ISIC_0010216,nevus
ISIC_0010219,nevus
ISIC_0010220,nevus
ISIC_0010222,nevus
ISIC_0010225,melanoma
ISIC_0010226,nevus
ISIC_0010227,nevus
ISIC_0010228,nevus
ISIC_0010229,nevus
ISIC_0010231,melanoma
ISIC_0010232,nevus
ISIC_0010233,nevus
ISIC_0010234,nevus
ISIC_0010235,melanoma
ISIC_0010236,nevus
ISIC_0010237,nevus
ISIC_0010238,nevus
ISIC_0010239,nevus
ISIC_0010240,melanoma
ISIC_0010241,melanoma
ISIC_0010244,nevus
ISIC_0010247,nevus
ISIC_0010248,nevus
ISIC_0010249,nevus
ISIC_0010251,melanoma
ISIC_0010252,nevus
ISIC_0010255,nevus
ISIC_0010256,nevus
ISIC_0010257,nevus
ISIC_0010262,nevus
ISIC_0010263,nevus
ISIC_0010264,nevus
ISIC_0010265,melanoma
ISIC_0010267,melanoma
ISIC_0010317,nevus
ISIC_0010318,nevus
ISIC_0010319,melanoma
ISIC_0010320,nevus
ISIC_0010321,melanoma
ISIC_0010322,melanoma
ISIC_0010323,nevus
ISIC_0010326,nevus
ISIC_0010327,nevus
ISIC_0010329,melanoma
ISIC_0010330,nevus
ISIC_0010332,nevus
ISIC_0010333,nevus
ISIC_0010334,nevus
ISIC_0010335,nevus
ISIC_0010336,nevus
ISIC_0010337,nevus
ISIC_0010339,nevus
ISIC_0010340,nevus
ISIC_0010341,nevus
ISIC_0010342,nevus
ISIC_0010344,nevus
ISIC_0010346,nevus
ISIC_0010347,nevus
ISIC_0010348,nevus
ISIC_0010349,melanoma
ISIC_0010350,melanoma
ISIC_0010351,nevus
ISIC_0010356,nevus
ISIC_0010357,nevus
ISIC_0010358,melanoma
ISIC_0010360,melanoma
ISIC_0010361,nevus
ISIC_0010362,nevus
ISIC_0010364,melanoma
ISIC_0010365,nevus
ISIC_0010367,nevus
ISIC_0010368,nevus
ISIC_0010370,nevus
ISIC_0010372,melanoma
ISIC_0010374,nevus
ISIC_0010379,melanoma
ISIC_0010380,melanoma
ISIC_0010382,nevus
ISIC_0010435,nevus
ISIC_0010439,nevus
ISIC_0010441,melanoma
ISIC_0010442,nevus
ISIC_0010443,nevus
ISIC_0010444,nevus
ISIC_0010445,nevus
ISIC_0010447,nevus
ISIC_0010448,nevus
ISIC_0010449,nevus
ISIC_0010452,nevus
ISIC_0010455,nevus
ISIC_0010456,nevus
ISIC_0010457,nevus
ISIC_0010458,nevus
ISIC_0010459,nevus
ISIC_0010461,nevus
ISIC_0010462,nevus
ISIC_0010463,nevus
ISIC_0010465,nevus
ISIC_0010466,melanoma
ISIC_0010467,nevus
ISIC_0010468,melanoma
ISIC_0010472,nevus
ISIC_0010473,nevus
ISIC_0010474,nevus
ISIC_0010475,nevus
ISIC_0010476,melanoma
ISIC_0010477,nevus
ISIC_0010479,nevus
ISIC_0010480,nevus
ISIC_0010481,nevus
ISIC_0010483,nevus
ISIC_0010487,nevus
ISIC_0010488,nevus
ISIC_0010490,nevus
ISIC_0010492,nevus
ISIC_0010493,nevus
ISIC_0010494,nevus
ISIC_0010496,nevus
ISIC_0010497,nevus
ISIC_0010498,nevus
ISIC_0010552,nevus
ISIC_0010553,nevus
ISIC_0010554,nevus
ISIC_0010557,nevus
ISIC_0010558,nevus
ISIC_0010562,nevus
ISIC_0010565,nevus
ISIC_0010566,nevus
ISIC_0010567,nevus
ISIC_0010568,nevus
ISIC_0010569,nevus
ISIC_0010570,nevus
ISIC_0010571,nevus
ISIC_0010572,nevus
ISIC_0010573,nevus
ISIC_0010574,nevus
ISIC_0010576,melanoma
ISIC_0010581,nevus
ISIC_0010584,nevus
ISIC_0010585,nevus
ISIC_0010587,melanoma
ISIC_0010588,nevus
ISIC_0010589,nevus
ISIC_0010590,nevus
ISIC_0010591,melanoma
ISIC_0010592,nevus
ISIC_0010593,nevus
ISIC_0010595,nevus
ISIC_0010596,melanoma
ISIC_0010597,melanoma
ISIC_0010598,nevus
ISIC_0010599,nevus
ISIC_0010602,nevus
ISIC_0010603,nevus
ISIC_0010604,nevus
ISIC_0010605,nevus
ISIC_0010606,nevus
ISIC_0010607,nevus
ISIC_0010844,nevus
ISIC_0010846,nevus
ISIC_0010847,nevus
ISIC_0010848,nevus
ISIC_0010849,nevus
ISIC_0010850,nevus
ISIC_0010851,nevus
ISIC_0010852,melanoma
ISIC_0010853,nevus
ISIC_0010854,nevus
ISIC_0010856,nevus
ISIC_0010857,nevus
ISIC_0010858,nevus
ISIC_0010860,melanoma
ISIC_0010861,nevus
ISIC_0010862,melanoma
ISIC_0010863,melanoma
ISIC_0010864,nevus
ISIC_0011079,nevus
ISIC_0011081,nevus
ISIC_0011082,nevus
ISIC_0011083,nevus
ISIC_0011084,nevus
ISIC_0011085,nevus
ISIC_0011088,nevus
ISIC_0011089,nevus
ISIC_0011090,nevus
ISIC_0011092,nevus
ISIC_0011095,melanoma
ISIC_0011097,nevus
ISIC_0011098,nevus
ISIC_0011099,melanoma
ISIC_0011101,nevus
ISIC_0011102,nevus
ISIC_0011104,nevus
ISIC_0011105,nevus
ISIC_0011107,nevus
ISIC_0011109,nevus
ISIC_0011110,nevus
ISIC_0011112,melanoma
ISIC_0011114,nevus
ISIC_0011115,nevus
ISIC_0011117,nevus
ISIC_0011118,melanoma
ISIC_0011119,nevus
ISIC_0011120,nevus
ISIC_0011121,melanoma
ISIC_0011123,nevus
ISIC_0011124,nevus
ISIC_0011127,nevus
ISIC_0011128,melanoma
ISIC_0011129,nevus
ISIC_0011130,melanoma
ISIC_0011131,nevus
ISIC_0011132,melanoma
ISIC_0011135,melanoma
ISIC_0011137,melanoma
ISIC_0011139,melanoma
ISIC_0011140,melanoma
ISIC_0011143,nevus
ISIC_0011144,nevus
ISIC_0011146,nevus
